                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.52084,                 0.3273,                 0.9872,                0.99934,                0.99522,                  0.995,                 0.9534,                0.34132,                 0.1892,                0.82227,              0.0002774,              0.0002774,              0.0002774
                     89,                0.51087,                0.33808,                0.97983,                0.99997,                0.99522,                  0.995,                0.95372,                 0.3454,                0.18731,                0.82139,              0.0002576,              0.0002576,              0.0002576
                     90,                0.50435,                0.31969,                 0.9796,                0.99949,                      1,                  0.995,                0.95867,                0.34294,                0.18606,                0.82501,              0.0002378,              0.0002378,              0.0002378
                     91,                0.32499,                0.21215,                0.83597,                0.99786,                      1,                  0.995,                0.94831,                0.33997,                0.18818,                0.82781,               0.000218,               0.000218,               0.000218
                     92,                0.31758,                0.19605,                0.81889,                0.99507,                      1,                  0.995,                0.95647,                0.33181,                0.18492,                0.82051,              0.0001982,              0.0001982,              0.0001982
                     93,                0.32239,                0.19746,                0.82474,                0.99857,                0.98565,                 0.9949,                0.95515,                0.34202,                0.19161,                0.81958,              0.0001784,              0.0001784,              0.0001784
                     94,                0.30861,                 0.1947,                0.83028,                0.99445,                0.99522,                0.99495,                0.95625,                0.33403,                0.18284,                0.81964,              0.0001586,              0.0001586,              0.0001586
                     95,                0.30954,                 0.1869,                0.81573,                0.99459,                0.99522,                 0.9949,                0.95751,                0.33627,                0.17859,                0.82703,              0.0001388,              0.0001388,              0.0001388
                     96,                0.30696,                0.18524,                0.82476,                0.99521,                0.99504,                 0.9949,                0.95895,                0.33598,                0.18029,                0.82984,               0.000119,               0.000119,               0.000119
                     97,                0.30806,                0.18501,                0.81274,                0.99443,                      1,                0.99495,                0.96073,                0.33282,                 0.1811,                0.82961,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.29765,                0.17851,                0.82196,                0.99524,                0.99987,                0.99495,                0.95871,                0.33309,                0.17361,                0.82907,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 0.3047,                0.17795,                0.81874,                0.99524,                0.99981,                0.99495,                0.96003,                0.33287,                0.17172,                0.82974,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.29277,                0.17726,                0.82012,                0.99523,                      1,                0.99495,                0.96008,                0.33226,                0.17281,                0.82918,               3.98e-05,               3.98e-05,               3.98e-05
